task,model,features,preprocess,weights,k,cv_folds,mean_accuracy,mean_macro_f1
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,distance,7,9,0.917340486585091,0.9172866137362169
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,distance,9,9,0.9170701900018448,0.917068612566162
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,distance,15,9,0.9170689089753837,0.9172537752943166
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,distance,11,9,0.9157379224825267,0.9157894834123697
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,uniform,15,9,0.9154676258992807,0.9156900269404509
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,uniform,9,9,0.9149366404312447,0.915049337091574
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,uniform,7,9,0.9144082170161307,0.9144920348071126
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,uniform,21,9,0.9141385609461149,0.914382297720689
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,distance,21,9,0.9141385609461149,0.9143424561011584
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,uniform,11,9,0.9138727479554818,0.9140193301647579
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,distance,31,9,0.9138695453893296,0.9140941379756313
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,uniform,31,9,0.9133366383816024,0.9135793654724869
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,uniform,5,9,0.9128043718871057,0.9129400886181548
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,distance,5,9,0.9120082139416671,0.912036012685675
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,uniform,3,9,0.9112030888110024,0.9112440176212756
task1,knn,color+hog+additional+deep_efficientnet_v2_m,standard_normalizer,distance,3,9,0.9106689007768145,0.9106959621197915
