task,model,features,preprocess,C,cv_folds,mean_accuracy,mean_macro_f1
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard,0.03,5,0.9154666666666668,0.9153828896763923
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard,0.001,5,0.9149333333333333,0.9148987740250263
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard,0.003,5,0.9144,0.9144472332979126
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard,0.01,5,0.9136,0.913438050285742
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard,0.0003,5,0.9117333333333333,0.9115327925039487
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard,0.003,5,0.9098666666666666,0.9095807976058051
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard,0.0001,5,0.9077333333333334,0.9075374113312329
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard,0.001,5,0.9071999999999999,0.906924948895206
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard,0.01,5,0.9040000000000001,0.9040065575410521
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard,0.0003,5,0.9010666666666667,0.9007810738746638
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.03,5,0.9005333333333333,0.9006504217073845
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard,3e-05,5,0.9,0.8997222195420042
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard,0.03,5,0.8992000000000001,0.8991484705252514
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard,0.0001,5,0.8930666666666667,0.8927727062066294
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.01,5,0.8893333333333333,0.8894208980120524
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard,3e-05,5,0.8872,0.8869738182597997
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.003,5,0.8802666666666668,0.880169253177101
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.03,5,0.8792,0.8794622707884756
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.001,5,0.8752000000000001,0.8747648712689173
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.01,5,0.8744,0.8741199295064004
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.003,5,0.8685333333333333,0.8676992586234563
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.0003,5,0.8685333333333333,0.8676655436082943
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.001,5,0.8661333333333333,0.8650194391682066
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.0003,5,0.8661333333333333,0.8647454013793479
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,3e-05,5,0.8658666666666667,0.8644403959433836
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.0001,5,0.8656,0.8644541118125206
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,0.0001,5,0.8656,0.8640525282991744
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,standard_normalizer,3e-05,5,0.8648,0.8632103887302499
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.03,5,0.5909333333333333,0.5764065613411411
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.01,5,0.5594666666666667,0.5472859317596631
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.003,5,0.5338666666666667,0.5248305648555737
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.03,5,0.5141333333333333,0.5103374453980777
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.001,5,0.4976,0.49556600422968045
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.01,5,0.45653333333333335,0.46030909353741967
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.0003,5,0.39093333333333335,0.395572331137172
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.003,5,0.3562666666666667,0.3597849212401132
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.0001,5,0.26826666666666665,0.255070106593823
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.001,5,0.2613333333333333,0.2483066332516261
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.0003,5,0.20800000000000002,0.17185076311313757
task1,linear_svm,color+hog+additional+deep_efficientnet_v2_s,normalizer,3e-05,5,0.19813333333333333,0.16068294833723662
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,normalizer,0.0001,5,0.19413333333333332,0.14719158695049614
task1,logistic_regression,color+hog+additional+deep_efficientnet_v2_s,normalizer,3e-05,5,0.19039999999999999,0.13791279901412712
