task,model,features,preprocess,C,cv_folds,mean_accuracy,mean_macro_f1
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard,0.01,5,0.8969592656339644,0.8965703541384655
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard,0.03,5,0.8921399885255307,0.892185322933001
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard,0.003,5,0.8898164084911073,0.8875170345650222
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard,0.003,5,0.8898164084911073,0.8878000416971341
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard,0.01,5,0.8850545037292026,0.8821918299913992
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard,0.0003,5,0.8850545037292026,0.882676267488961
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard,0.03,5,0.885025817555938,0.8825714177239281
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard,0.001,5,0.8826735513482502,0.8798320088699683
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard,0.0001,5,0.8777682157200228,0.8744002361587502
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard,0.001,5,0.8777682157200228,0.8741565386797585
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard,3e-05,5,0.858491107286288,0.8542935119575986
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard,0.0003,5,0.858491107286288,0.8545036205624441
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard_normalizer,0.03,5,0.8537578886976478,0.8484037139331256
task2,linear_svm,engineered+deep_efficientnet_v2_m,normalizer,0.03,5,0.8514056224899598,0.8470418647400072
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard,0.0001,5,0.8417096959265635,0.8359665250246081
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard_normalizer,0.01,5,0.8393287435456109,0.8326038515783434
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard,3e-05,5,0.8320711417096959,0.8266691507442617
task2,linear_svm,engineered+deep_efficientnet_v2_m,normalizer,0.01,5,0.8201950659781986,0.8117158806106175
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard_normalizer,0.003,5,0.8154044750430293,0.807247041400292
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard_normalizer,0.03,5,0.8130522088353415,0.8036170392850295
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard_normalizer,0.001,5,0.7914228341939186,0.7785750827895127
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard_normalizer,0.01,5,0.7914228341939186,0.7785750827895127
task2,logistic_regression,engineered+deep_efficientnet_v2_m,normalizer,0.03,5,0.7867756741250717,0.7696326712503183
task2,linear_svm,engineered+deep_efficientnet_v2_m,normalizer,0.003,5,0.7843086632243259,0.7687411040971412
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard_normalizer,0.003,5,0.7794606999426277,0.765362391799732
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard_normalizer,0.0003,5,0.7794606999426277,0.765362391799732
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard_normalizer,0.0001,5,0.7650889271371198,0.7465803255687493
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard_normalizer,0.0003,5,0.7650889271371198,0.7465803255687493
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard_normalizer,3e-05,5,0.7650889271371198,0.7465803255687493
task2,logistic_regression,engineered+deep_efficientnet_v2_m,standard_normalizer,0.001,5,0.7650889271371198,0.7465803255687493
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard_normalizer,0.0001,5,0.7650889271371198,0.7465803255687493
task2,linear_svm,engineered+deep_efficientnet_v2_m,standard_normalizer,3e-05,5,0.7650889271371198,0.7465803255687493
task2,linear_svm,engineered+deep_efficientnet_v2_m,normalizer,0.001,5,0.7292598967297763,0.6840816773427001
task2,logistic_regression,engineered+deep_efficientnet_v2_m,normalizer,0.01,5,0.7292598967297763,0.6840816773427001
task2,logistic_regression,engineered+deep_efficientnet_v2_m,normalizer,0.003,5,0.7244119334480781,0.6769342329870665
task2,linear_svm,engineered+deep_efficientnet_v2_m,normalizer,0.0003,5,0.7220309810671257,0.6756955368706613
task2,logistic_regression,engineered+deep_efficientnet_v2_m,normalizer,0.001,5,0.7148307515777395,0.6661240487096995
task2,linear_svm,engineered+deep_efficientnet_v2_m,normalizer,0.0001,5,0.7124497991967871,0.6648160952252755
task2,logistic_regression,engineered+deep_efficientnet_v2_m,normalizer,0.0003,5,0.7028112449799198,0.6546667260048942
task2,logistic_regression,engineered+deep_efficientnet_v2_m,normalizer,3e-05,5,0.7004302925989674,0.6517694297428787
task2,linear_svm,engineered+deep_efficientnet_v2_m,normalizer,3e-05,5,0.7004016064257028,0.6523137848284236
task2,logistic_regression,engineered+deep_efficientnet_v2_m,normalizer,0.0001,5,0.698049340218015,0.6499518226621136
