task,model,features,C,gamma,max_depth,min_samples_leaf,max_features,n_estimators,cv_folds,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,15,1.0,sqrt,300.0,5,0.9783993115318417,0.014060790528551142,0.9782107965993415,0.01431888451995303
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,20,1.0,sqrt,300.0,5,0.9783993115318417,0.014060790528551142,0.9782107965993415,0.01431888451995303
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,None,1.0,sqrt,300.0,5,0.9783993115318417,0.014060790528551142,0.9782107965993415,0.01431888451995303
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,10,1.0,sqrt,300.0,5,0.9735800344234079,0.014090255852774507,0.9736454371222173,0.014263147241620037
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,15,2.0,sqrt,300.0,5,0.9735800344234079,0.014090255852774507,0.9734121332743625,0.015025019987848477
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,20,2.0,sqrt,300.0,5,0.9735800344234079,0.014090255852774507,0.9734121332743625,0.015025019987848477
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,None,2.0,sqrt,300.0,5,0.9735800344234079,0.014090255852774507,0.9734121332743625,0.015025019987848477
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,8,4.0,sqrt,300.0,5,0.9711990820424555,0.01956964769064255,0.9709356970858518,0.019899918869917103
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,10,2.0,log2,300.0,5,0.971170395869191,0.009717798440780816,0.9715234900977936,0.009617097470067814
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,15,2.0,log2,300.0,5,0.971170395869191,0.009717798440780816,0.9715234900977936,0.009617097470067814
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,20,2.0,log2,300.0,5,0.971170395869191,0.009717798440780816,0.9715234900977936,0.009617097470067814
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,None,2.0,log2,300.0,5,0.971170395869191,0.009717798440780816,0.9715234900977936,0.009617097470067814
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,8,1.0,log2,300.0,5,0.971170395869191,0.012349056083576834,0.9716970367094208,0.011692766951431533
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,8,1.0,sqrt,300.0,5,0.971170395869191,0.016389824446731975,0.9710758759644209,0.017012259228432032
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,10,1.0,sqrt,300.0,5,0.971170395869191,0.016389824446731975,0.9710758759644209,0.017012259228432032
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,10,1.0,0.3,300.0,5,0.971170395869191,0.016389824446731975,0.971075531967173,0.0170126292359396
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,15,1.0,0.3,300.0,5,0.971170395869191,0.016389824446731975,0.971075531967173,0.0170126292359396
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,20,1.0,0.3,300.0,5,0.971170395869191,0.016389824446731975,0.971075531967173,0.0170126292359396
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,None,1.0,0.3,300.0,5,0.971170395869191,0.016389824446731975,0.971075531967173,0.0170126292359396
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,10,2.0,sqrt,300.0,5,0.971170395869191,0.022380363354365516,0.9708549314462628,0.023035834850263864
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,15,2.0,0.3,300.0,5,0.9688181296615032,0.012288133416944964,0.9685330483070421,0.013169604981177066
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,20,2.0,0.3,300.0,5,0.9688181296615032,0.012288133416944964,0.9685330483070421,0.013169604981177066
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,None,2.0,0.3,300.0,5,0.9688181296615032,0.012288133416944964,0.9685330483070421,0.013169604981177066
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,8,1.0,log2,300.0,5,0.9687894434882388,0.016352276232044022,0.9686539633397219,0.017642579067885782
task2,logistic_regression,hog+additional+deep_efficientnet_v2_l,0.03,,None,,,,5,0.9687894434882386,0.012299177969673631,0.9688513194751586,0.013052323688781597
task2,logistic_regression,hog+additional+deep_efficientnet_v2_l,0.1,,None,,,,5,0.9687894434882386,0.012299177969673631,0.9688513194751586,0.013052323688781597
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,8,4.0,0.3,300.0,5,0.9687894434882386,0.012299177969673631,0.9686967909971006,0.01312075260927162
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,10,2.0,0.3,300.0,5,0.9687894434882386,0.014515770581179754,0.9685657280456041,0.01514330118428449
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,8,4.0,log2,300.0,5,0.9687894434882386,0.018040524315794008,0.9689395547692762,0.01791060240377777
task2,logistic_regression,hog+additional+deep_efficientnet_v2_l,0.003,,None,,,,5,0.9687894434882386,0.02235288027185325,0.9683791095385523,0.0238014635803488
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,8,4.0,sqrt,300.0,5,0.9687607573149741,0.019625703668620032,0.9683819616915592,0.02088719514540134
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,10,1.0,log2,300.0,5,0.9687607573149741,0.019625703668620032,0.968466656838174,0.020677732021143536
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,10,4.0,sqrt,300.0,5,0.9687607573149741,0.019625703668620032,0.9683819616915592,0.02088719514540134
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,15,4.0,sqrt,300.0,5,0.9687607573149741,0.019625703668620032,0.9683819616915592,0.02088719514540134
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,20,4.0,sqrt,300.0,5,0.9687607573149741,0.019625703668620032,0.9683819616915592,0.02088719514540134
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,None,4.0,sqrt,300.0,5,0.9687607573149741,0.019625703668620032,0.9683819616915592,0.02088719514540134
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,10,4.0,0.3,300.0,5,0.9687607573149741,0.019625703668620032,0.9686254852818321,0.020508571525815263
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,15,4.0,0.3,300.0,5,0.9687607573149741,0.019625703668620032,0.9686254852818321,0.020508571525815263
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,20,4.0,0.3,300.0,5,0.9687607573149741,0.019625703668620032,0.9686254852818321,0.020508571525815263
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,None,4.0,0.3,300.0,5,0.9687607573149741,0.019625703668620032,0.9686254852818321,0.020508571525815263
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,15,1.0,sqrt,300.0,5,0.9663798049340219,0.011841032441402093,0.9668179517421004,0.011630603079268387
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,20,1.0,sqrt,300.0,5,0.9663798049340219,0.011841032441402093,0.9668179517421004,0.011630603079268387
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,None,1.0,sqrt,300.0,5,0.9663798049340219,0.011841032441402093,0.9668179517421004,0.011630603079268387
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,15,4.0,log2,300.0,5,0.9663798049340219,0.011841032441402093,0.9668179517421004,0.011630603079268387
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,20,4.0,log2,300.0,5,0.9663798049340219,0.011841032441402093,0.9668179517421004,0.011630603079268387
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,None,4.0,log2,300.0,5,0.9663798049340219,0.011841032441402093,0.9668179517421004,0.011630603079268387
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,20,2.0,log2,300.0,5,0.9663798049340219,0.01408096690209947,0.9663668995263424,0.014867093711678481
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,None,2.0,log2,300.0,5,0.9663798049340219,0.01408096690209947,0.9663668995263424,0.014867093711678481
task2,logistic_regression,hog+additional+deep_efficientnet_v2_l,0.01,,None,,,,5,0.9663798049340219,0.016010534298320698,0.9661574052022969,0.01740969714005194
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,3.0,0.0003,None,,,,5,0.9663798049340219,0.0192993359408315,0.9664800481596147,0.019723372767431333
task2,logistic_regression,hog+additional+deep_efficientnet_v2_l,0.001,,None,,,,5,0.9663798049340219,0.020749167389964223,0.9661637672612905,0.022258047666709285
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,10,2.0,sqrt,300.0,5,0.9663511187607574,0.014134338667229025,0.9666176716300555,0.014505100025566061
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,15,2.0,sqrt,300.0,5,0.9663511187607574,0.014134338667229025,0.9666176716300555,0.014505100025566061
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,20,2.0,sqrt,300.0,5,0.9663511187607574,0.014134338667229025,0.9666176716300555,0.014505100025566061
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,None,2.0,sqrt,300.0,5,0.9663511187607574,0.014134338667229025,0.9666176716300555,0.014505100025566061
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,8,2.0,sqrt,300.0,5,0.9663511187607574,0.014134338667229025,0.9666176716300555,0.014505100025566061
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,10,4.0,log2,300.0,5,0.9663511187607574,0.0177737640582768,0.9666434468524253,0.01797751466726524
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,15,4.0,log2,300.0,5,0.9663511187607574,0.0177737640582768,0.9666434468524253,0.01797751466726524
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,20,4.0,log2,300.0,5,0.9663511187607574,0.0177737640582768,0.9666434468524253,0.01797751466726524
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,None,4.0,log2,300.0,5,0.9663511187607574,0.0177737640582768,0.9666434468524253,0.01797751466726524
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,8,4.0,log2,300.0,5,0.9663511187607574,0.020785423932137146,0.9663607793994793,0.021981857958188824
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,8,2.0,0.3,300.0,5,0.9639988525530694,0.007712260476836029,0.9639277851491475,0.0084321482781985
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,10,2.0,log2,300.0,5,0.9639988525530694,0.013147533855055255,0.9643822792274804,0.013026416806116707
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,15,4.0,sqrt,300.0,5,0.963970166379805,0.013251459675172226,0.964248390584304,0.01364416506534502
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,20,4.0,sqrt,300.0,5,0.963970166379805,0.013251459675172226,0.964248390584304,0.01364416506534502
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,None,4.0,sqrt,300.0,5,0.963970166379805,0.013251459675172226,0.964248390584304,0.01364416506534502
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,15,1.0,log2,300.0,5,0.963970166379805,0.015330981715417103,0.9635218948578081,0.016836157648004644
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,10,4.0,sqrt,300.0,5,0.963970166379805,0.017080056872331613,0.9640412059560667,0.018038245847305158
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,15,1.0,log2,300.0,5,0.963970166379805,0.021585158827794895,0.9637611184824808,0.02232681013144902
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,20,1.0,log2,300.0,5,0.963970166379805,0.021585158827794895,0.9637611184824808,0.02232681013144902
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,None,1.0,log2,300.0,5,0.963970166379805,0.021585158827794895,0.9637611184824808,0.02232681013144902
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,8,1.0,sqrt,300.0,5,0.9639414802065405,0.01712004663562121,0.964281070322866,0.01723117458445326
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,8,2.0,sqrt,300.0,5,0.9639414802065405,0.01712004663562121,0.9639237573571939,0.018254748509991106
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,8,2.0,log2,300.0,5,0.9639414802065405,0.02022926484193659,0.9635061919504645,0.021638398124117657
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,10,4.0,0.3,300.0,5,0.9616465863453815,0.013890033490807167,0.9616977247039167,0.013686788584154952
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,15,4.0,0.3,300.0,5,0.9616465863453815,0.013890033490807167,0.9616977247039167,0.013686788584154952
