task,model,features,preprocess,C,cv_folds,mean_accuracy,mean_macro_f1
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard,0.03,5,0.8970166379804934,0.8960642850441612
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard,0.01,5,0.8946643717728054,0.8928804387682433
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard,0.001,5,0.8946643717728054,0.8931212368418586
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard,0.003,5,0.8921973608720597,0.8907418481071732
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard,0.01,5,0.8921399885255307,0.890732008273804
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard,0.003,5,0.887435456110155,0.885636263095275
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard,0.03,5,0.8873780837636259,0.8856240668516211
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard,0.0003,5,0.885025817555938,0.8831156232603938
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard,0.0001,5,0.8826161790017212,0.8803550358945433
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard,0.001,5,0.8778255880665519,0.8748018505178285
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard,3e-05,5,0.865748709122203,0.862755846149035
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard,0.0003,5,0.8633390705679862,0.8603705692312504
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.03,5,0.8585771658060815,0.8544191616776755
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.01,5,0.8489672977624785,0.843479464979465
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard,0.0001,5,0.8441480206540447,0.8386693359735492
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard,3e-05,5,0.8417383820998279,0.8357887805124984
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.03,5,0.8178141135972462,0.8120963968727463
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.003,5,0.8154044750430293,0.8100117735497327
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.01,5,0.7962707974756167,0.7865104209291853
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.0003,5,0.7938611589214,0.7829543997230092
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.001,5,0.7938611589213999,0.7825555783861075
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.003,5,0.791451520367183,0.7801718022035696
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.0001,5,0.7867183017785427,0.7740597591039104
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.001,5,0.7842799770510613,0.7727048656313699
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,standard_normalizer,3e-05,5,0.781899024670109,0.7668811599253111
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard_normalizer,3e-05,5,0.781899024670109,0.7668811599253111
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.0003,5,0.781899024670109,0.7668811599253111
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,standard_normalizer,0.0001,5,0.781899024670109,0.7668811599253111
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,normalizer,0.03,5,0.3814400458978772,0.29220463247572354
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,normalizer,0.01,5,0.3382386689615605,0.2565529266056615
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,normalizer,0.003,5,0.3286861732644865,0.24652746941964873
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,normalizer,0.001,5,0.28795180722891567,0.20855284322915532
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,normalizer,0.01,5,0.2855421686746988,0.20882657886763614
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,normalizer,0.03,5,0.275530694205393,0.20264601347975653
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,normalizer,0.0003,5,0.26867469879518074,0.19349351096107192
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,normalizer,0.003,5,0.26391279403327594,0.18536833697703264
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,normalizer,0.0003,5,0.2493689041881813,0.18581426084713631
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,normalizer,0.0001,5,0.24463568559954102,0.17403120573396808
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,normalizer,3e-05,5,0.23981640849110727,0.1665306293573492
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,normalizer,0.0001,5,0.2374641422834194,0.17819692363213843
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,normalizer,3e-05,5,0.2374354561101549,0.164245156433227
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,normalizer,0.001,5,0.23032128514056227,0.14940302615163095
