task,model,features,max_depth,min_samples_leaf,max_features,n_estimators,cv_folds,mean_accuracy,mean_macro_f1
task2,random_forest,hog+additional+deep_efficientnet_v2_m,10,1,log2,300,5,0.8920826161790018,0.8908394761413337
task2,random_forest,hog+additional+deep_efficientnet_v2_m,None,1,sqrt,300,5,0.8897590361445783,0.8880272438260054
task2,random_forest,hog+additional+deep_efficientnet_v2_m,20,1,sqrt,300,5,0.8897590361445783,0.8880272438260054
task2,random_forest,hog+additional+deep_efficientnet_v2_m,15,1,sqrt,300,5,0.8897590361445783,0.8880272438260054
task2,random_forest,hog+additional+deep_efficientnet_v2_m,None,2,log2,300,5,0.8897303499713137,0.8893833773725415
task2,random_forest,hog+additional+deep_efficientnet_v2_m,15,2,log2,300,5,0.8897303499713137,0.8893833773725415
task2,random_forest,hog+additional+deep_efficientnet_v2_m,20,2,log2,300,5,0.8897303499713137,0.8893833773725415
task2,random_forest,hog+additional+deep_efficientnet_v2_m,None,2,0.3,300,5,0.8873780837636259,0.8857008497178775
task2,random_forest,hog+additional+deep_efficientnet_v2_m,10,2,0.3,300,5,0.8873780837636259,0.8857008497178775
task2,random_forest,hog+additional+deep_efficientnet_v2_m,15,2,0.3,300,5,0.8873780837636259,0.8857008497178775
task2,random_forest,hog+additional+deep_efficientnet_v2_m,20,2,0.3,300,5,0.8873780837636259,0.8857008497178775
task2,random_forest,hog+additional+deep_efficientnet_v2_m,None,1,log2,300,5,0.887263339070568,0.8860012550229268
task2,random_forest,hog+additional+deep_efficientnet_v2_m,20,1,log2,300,5,0.887263339070568,0.8860012550229268
task2,random_forest,hog+additional+deep_efficientnet_v2_m,8,4,sqrt,300,5,0.8849110728628802,0.8839291800390872
task2,random_forest,hog+additional+deep_efficientnet_v2_m,15,1,log2,300,5,0.8848823866896156,0.8837253446587813
task2,random_forest,hog+additional+deep_efficientnet_v2_m,10,2,log2,300,5,0.8848823866896156,0.8838483463560862
task2,random_forest,hog+additional+deep_efficientnet_v2_m,10,4,log2,300,5,0.8848823866896156,0.8844542408056342
task2,random_forest,hog+additional+deep_efficientnet_v2_m,8,1,sqrt,300,5,0.8825014343086632,0.8821027757931782
task2,random_forest,hog+additional+deep_efficientnet_v2_m,8,2,sqrt,300,5,0.8801491681009754,0.8782647455743431
task2,random_forest,hog+additional+deep_efficientnet_v2_m,8,2,log2,300,5,0.8801491681009754,0.8788257162514128
task2,random_forest,hog+additional+deep_efficientnet_v2_m,10,1,sqrt,300,5,0.8801491681009754,0.8786256270389398
task2,random_forest,hog+additional+deep_efficientnet_v2_m,8,8,sqrt,300,5,0.8801204819277109,0.8782824897840378
task2,random_forest,hog+additional+deep_efficientnet_v2_m,5,8,sqrt,300,5,0.8801204819277109,0.8782371993331746
task2,random_forest,hog+additional+deep_efficientnet_v2_m,5,1,log2,300,5,0.8800917957544463,0.8792263747604305
task2,random_forest,hog+additional+deep_efficientnet_v2_m,10,8,0.3,300,5,0.8778255880665519,0.8754736426284413
task2,random_forest,hog+additional+deep_efficientnet_v2_m,None,8,0.3,300,5,0.8778255880665519,0.8754736426284413
task2,random_forest,hog+additional+deep_efficientnet_v2_m,15,8,0.3,300,5,0.8778255880665519,0.8754736426284413
task2,random_forest,hog+additional+deep_efficientnet_v2_m,20,8,0.3,300,5,0.8778255880665519,0.8754736426284413
task2,random_forest,hog+additional+deep_efficientnet_v2_m,8,8,0.3,300,5,0.8777969018932874,0.8758177135901594
