task,model,features,preprocess,C,cv_folds,mean_accuracy,mean_macro_f1
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.003,5,0.8850545037292026,0.8824066430421256
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.003,5,0.885025817555938,0.8826497394709806
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.01,5,0.8826448651749856,0.8797301724538903
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.001,5,0.8826448651749856,0.8800645377789678
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.03,5,0.8802639127940333,0.8765045234898514
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.03,5,0.8802352266207688,0.8781060934025667
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.01,5,0.8778542742398164,0.8752519104338325
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.0003,5,0.8778255880665519,0.8749021219354371
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.0001,5,0.8729489386115892,0.8701773013708
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.001,5,0.8705679862306368,0.8677081874094258
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard,3e-05,5,0.8561101549053356,0.852094509549618
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.0003,5,0.8561101549053356,0.8523808381161322
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.03,5,0.8537292025243832,0.8485557607167514
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard,0.0001,5,0.8441193344807804,0.8383894942122833
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.01,5,0.8345381526104418,0.8285067326669828
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard,3e-05,5,0.8296901893287435,0.8243658925988984
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.03,5,0.8058519793459553,0.7977895319334947
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.003,5,0.8058519793459553,0.7967040618480246
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.01,5,0.791451520367183,0.7803824644343557
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.001,5,0.791451520367183,0.7803824644343557
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.003,5,0.7746701090074584,0.7592099474088976
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.0003,5,0.7746701090074584,0.7592099474088976
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.001,5,0.7674698795180723,0.7495556835441073
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.0001,5,0.7627079747561675,0.7433565493449731
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.0003,5,0.7602983362019506,0.7394440408008857
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,0.0001,5,0.7602983362019506,0.7394440408008857
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,3e-05,5,0.7602983362019506,0.7394440408008857
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,standard_normalizer,3e-05,5,0.7602983362019506,0.7394440408008857
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.03,5,0.36701090074584053,0.28184180236541884
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.01,5,0.3166953528399311,0.23558991223263517
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.003,5,0.3119047619047619,0.23103674571855573
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.03,5,0.2900745840504877,0.21029486084327917
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.001,5,0.28310384394721744,0.2024975427453274
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.01,5,0.28310384394721744,0.20517250505906853
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.003,5,0.2687320711417097,0.18870060574125724
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.0003,5,0.2614744693057946,0.1877657504488624
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.0001,5,0.2470166379804934,0.1769211961552991
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.0003,5,0.24698795180722893,0.18099248018502676
task2,linear_svm,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,3e-05,5,0.24222604704532413,0.1710463715636134
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.0001,5,0.23749282845668387,0.1779463015307972
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,3e-05,5,0.2374354561101549,0.16463425950832228
task2,logistic_regression,hog+additional+engineered+deep_efficientnet_v2_m,normalizer,0.001,5,0.23032128514056227,0.14853716653716653
